dataset,split_seed,tag,preprocess,feature,classifier,accuracy,precision,recall,f1,train_time_sec,inference_time_sec,n_train,n_test,model_path,confusion_path
oxford_pets,0,transfer_head_e5_aug,torch_augment_224+imagenet_normalize,none,"TorchTransferClassifier({""backbone"": ""convnext_tiny"", ""batch_size"": 32, ""device"": ""mps"", ""epochs"": 5, ""lr"": 0.001, ""mode"": ""head"", ""pretrained"": true, ""seed"": 0})",0.9283183428727174,0.9302441861652742,0.9278942061790268,0.9274747430667387,142.4640195418615,37.0367162078619,3680,3669,experiments/artifacts_task4_transfer_e5/model_oxford_pets_0_transfer_head_e5_aug.pt,experiments/artifacts_task4_transfer_e5/confusion_oxford_pets_0_transfer_head_e5_aug.json
oxford_pets,0,transfer_partial_e5_aug,torch_augment_224+imagenet_normalize,none,"TorchTransferClassifier({""backbone"": ""convnext_tiny"", ""batch_size"": 32, ""device"": ""mps"", ""epochs"": 5, ""lr"": 0.0005, ""mode"": ""partial"", ""pretrained"": true, ""seed"": 0})",0.9299536658490052,0.9326230889786365,0.9297892125981185,0.9285022089273685,244.49920687498525,47.45084795891307,3680,3669,experiments/artifacts_task4_transfer_e5/model_oxford_pets_0_transfer_partial_e5_aug.pt,experiments/artifacts_task4_transfer_e5/confusion_oxford_pets_0_transfer_partial_e5_aug.json
